index_scenario,mode,mean,median,p95,p99
composite,approx,2.8491021133959293,1.8068334320560098,6.30036313086748,6.576928044669329
composite,cached,0.3533157888644685,0.3566454397514462,0.4187243641354143,0.48990885727107486
composite,exact,5.860730706869314,4.2920829728245735,12.498596077784894,13.765643700025974
no_extra_index,approx,3.832317171812368,2.369041903875768,8.354837633669376,8.545626150444148
no_extra_index,cached,0.36014096015909064,0.359958503395319,0.4706392879597841,0.5287871579639613
no_extra_index,exact,6.09908930103605,4.418874974362552,12.369108689017592,13.305468258913606
optimized,approx,2.1730078132047006,1.306708436459303,4.790429200511426,5.05831962218508
optimized,cached,0.3567480550069983,0.36489602643996477,0.4530297475866973,0.5258918111212547
optimized,exact,3.765180900033253,1.9955210154876113,10.003294027410446,10.958844479173422
single_column,approx,3.672040482827773,2.2440210450440645,8.149351982865483,8.52643559454009
single_column,cached,0.3608083527069539,0.34281250555068254,0.4939097096212207,0.5781671428121623
single_column,exact,4.0043017351611825,2.176563022658229,10.42820696020499,11.66711386293173
